2012-07-19;217750;272004
2012-07-18;225738;269949
2012-07-17;215869;271229
2012-07-16;175106;269733
2012-07-13;172919;270700
2012-07-12;216635;270173
2012-07-11;201426;265179
2012-07-10;222934;263916
2012-07-09;189520;267002
2012-07-06;159711;266651
2012-07-05;169453;265665
2012-07-03;108912;264495
2012-07-02;185384;263230
2012-06-29;216842;260323
2012-06-28;192341;260837
2012-06-27;202026;260535
2012-06-26;210033;257416
2012-06-25;203901;257708
2012-06-22;324035;258896
2012-06-21;256264;261696
2012-06-20;279326;259996
2012-06-19;187188;262676
2012-06-18;171712;262660
2012-06-15;242075;262671
2012-06-14;193622;259941
2012-06-13;208661;258231
2012-06-12;204721;254977
2012-06-11;161498;257215
2012-06-08;190813;257354
2012-06-07;271624;254138
2012-06-06;216343;258718
2012-06-05;218281;261123
2012-06-04;294722;261829
2012-06-01;288003;261392
2012-05-31;228685;260452
2012-05-30;296915;259259
2012-05-29;265100;257206
2012-05-25;255970;255719
2012-05-24;235085;253792
2012-05-23;201106;257705
2012-05-22;194395;258802
2012-05-21;297422;257879
2012-05-18;299693;255845
2012-05-17;292489;253938
2012-05-16;206105;254742
2012-05-15;218776;252529
2012-05-14;194145;254644
2012-05-11;172555;256222
2012-05-10;223761;253374
2012-05-09;210422;257634
2012-05-08;189775;257175
2012-05-07;265230;257095
2012-05-04;221413;257215
2012-05-03;213714;256546
2012-05-02;207315;255784
2012-05-01;235175;253153
2012-04-30;208071;252509
2012-04-27;207816;255721
2012-04-26;240609;255446
2012-04-25;264412;254789
2012-04-24;222061;252454
2012-04-23;192853;252367
2012-04-20;208427;252639
2012-04-19;211292;250535
2012-04-18;204676;251050
2012-04-17;290092;251695
2012-04-16;177941;251833
2012-04-13;183432;249194
2012-04-12;190550;248032
2012-04-11;295797;245931
2012-04-10;183453;247761
2012-04-09;171488;246918
2012-04-05;153780;247134
2012-04-04;193330;245869
2012-04-03;193203;245033
2012-04-02;178417;242226
2012-03-30;199855;242164
2012-03-29;192607;241788
2012-03-28;286831;241710
2012-03-27;270806;243743
2012-03-26;181787;245563
2012-03-23;163447;244893
2012-03-22;188729;245174
2012-03-21;215874;245592
2012-03-20;176194;240821
2012-03-19;165097;239441
2012-03-16;203165;237266
2012-03-15;169043;237870
2012-03-14;225563;237174
2012-03-13;223500;235057
2012-03-12;263798;240229
2012-03-09;287505;238755
2012-03-08;198991;238773
2012-03-07;295933;237464
2012-03-06;212143;238514
2012-03-05;229168;234068
2012-03-02;235279;236800
2012-03-01;271075;240421
2012-02-28;262045;241615
2012-02-27;303738;240786
2012-02-26;191248;250452
2012-02-23;201222;251510
2012-02-22;185096;252494
2012-02-21;201245;251842
2012-02-20;216559;251304
2012-02-16;188743;249631
2012-02-15;194967;249710
2012-02-14;217358;248838
2012-02-13;182139;245988
2012-02-12;284025;245038
2012-02-09;218659;245982
2012-02-08;299588;248867
2012-02-07;219841;249050
2012-02-06;211371;247149
2012-02-05;287531;247060
2012-02-02;287677;247588
2012-02-01;217004;246838
2012-01-31;218671;246393
2012-01-30;276960;244864
2012-01-29;291540;244109
2012-01-26;206708;243549
2012-01-25;220228;243424
2012-01-24;220204;246628
2012-01-23;200110;243141
2012-01-22;290086;243107
2012-01-19;203789;245131
2012-01-18;245618;244321
2012-01-17;227388;247942
2012-01-16;213955;249778
2012-01-12;217581;250282
2012-01-11;243627;248485
2012-01-10;227421;245933
2012-01-09;214416;244383
2012-01-08;290562;243820
2012-01-05;206036;243425
2012-01-04;210421;245343
2012-01-03;243528;242316
