2010-11-20;2586;2569;2698;1326;3569;3596;3298
2010-11-19;2692;2563;3596;1569;3625;3998;4526
2010-11-18;2692;1969;2596;1269;2596;3695;3962
2010-11-17;2695;2526;3596;1519;2586;3596;3569
2010-11-16;2590;2659;3596;2569;2569;3695;3693
2010-11-15;2586;2569;2698;1326;3569;3596;3298
2010-11-14;2692;2563;3596;1569;3625;3998;4526
2010-11-13;2692;1969;2596;1569;2596;3695;3962
2010-11-12;2695;2526;3596;1569;2586;3596;3569
2010-11-11;2590;2659;3596;2569;2569;3695;3693
2010-11-10;2586;2569;2698;1326;3569;3596;3298
2010-11-09;2692;2563;3596;1569;3625;3998;4526
2010-11-08;2692;1969;2596;1269;2596;3695;3962
2010-11-07;2695;2526;3596;1519;2586;3596;3569
2010-11-06;2590;2659;3596;2569;2569;3695;3693
2010-11-05;2586;2569;2698;1326;3569;3596;3298
2010-11-04;2692;2563;3596;1569;3625;3998;4526
2010-11-03;2692;1969;2596;1569;2596;3695;3962
2010-11-02;2695;2526;3596;1569;2586;3596;3569
2010-11-01;2590;2659;3596;2569;2569;3695;3693
