2012-10-20;2586;2569;2698;1326;3569;3596;3298
2012-10-19;2692;2563;3596;1569;3625;3998;4526
2012-10-18;2692;1969;2596;1269;2596;3695;3962
2012-10-17;2695;2526;3596;1519;2586;3596;3569
2012-10-16;2590;2659;3596;2569;2569;3695;3693
2012-10-15;2586;2569;2698;1326;3569;3596;3298
2012-10-14;2692;2563;3596;1569;3625;3998;4526
2012-10-13;2692;1969;2596;1569;2596;3695;3962
2012-10-12;2695;2526;3596;1569;2586;3596;3569
2012-10-11;2590;2659;3596;2569;2569;3695;3693
2012-10-10;2586;2569;2698;1326;3569;3596;3298
2012-10-09;2692;2563;3596;1569;3625;3998;4526
2012-10-08;2692;1969;2596;1269;2596;3695;3962
2012-10-07;2695;2526;3596;1519;2586;3596;3569
2012-10-06;2590;2659;3596;2569;2569;3695;3693
2012-10-05;2586;2569;2698;1326;3569;3596;3298
2012-10-04;2692;2563;3596;1569;3625;3998;4526
2012-10-03;2692;1969;2596;1569;2596;3695;3962
2012-10-02;2695;2526;3596;1569;2586;3596;3569
2012-10-01;2590;2659;3596;2569;2569;3695;3693
